#SAMPLE,R1 RAW READS,R2 RAW READS,R1 READS AFTER TRIM,R2 READS AFTER TRIM,TOTAL READS,MAPPED READS,MAPPED READS %,CHR M READS %,MAPPED READS MQ30 %,MAPPED READS,DEDUPLICATED READS,DUPLICATES %
HBR34_S16_L002,10682563,10682563,10510138,10510138,21020276,19498560,92.7%,.226%,90.0%,19498560,17443646,10.5%
HBR35_S17_L002,12904979,12904979,12650432,12650432,25300864,21727294,85.8%,.872%,79.0%,21727294,19062852,12.2%
HBR36_S18_L002,13776379,13776379,13480652,13480652,26961304,21928546,81.3%,.597%,76.6%,21928546,19063784,13.0%
HBR37_S19_L002,14576394,14576394,14278015,14278015,28556030,25924562,90.7%,.164%,89.9%,25924562,22188038,14.4%
HBR38_S20_L002,13955923,13955923,13588295,13588295,27176590,22252024,81.8%,.773%,79.1%,22252024,19247958,13.5%
HBR39_S21_L002,14873272,14873272,14558405,14558405,29116810,23977950,82.3%,.717%,78.9%,23977950,20488474,14.5%
HBR40_S22_L002,15763119,15763119,15462239,15462239,30924478,28226746,91.2%,.362%,88.0%,28226746,24788148,12.1%
HBR41_S23_L002,16486779,16486779,16116278,16116278,32232556,28180978,87.4%,.620%,83.7%,28180978,25030756,11.1%
HBR42_S24_L002,12426977,12426977,12090553,12090553,24181106,20566446,85.0%,.539%,81.7%,20566446,18448096,10.3%
HBR43_S25_L002,14520729,14520729,14163436,14163436,28326872,24371782,86.0%,.339%,86.2%,24371782,20856384,14.4%
HBR44_S26_L002,12363688,12363688,11982760,11982760,23965520,19986182,83.3%,.838%,79.9%,19986182,17438676,12.7%
HBR45_S27_L002,11880134,11880134,11592621,11592621,23185242,19312816,83.2%,.858%,80.3%,19312816,16914584,12.4%
HBR46_S28_L002,15228857,15228857,14944055,14944055,29888110,26979680,90.2%,.343%,86.4%,26979680,23771890,11.8%
HBR47_S29_L002,17030759,17030759,16658489,16658489,33316978,29446354,88.3%,.658%,82.4%,29446354,24591208,16.4%
HBR48_S30_L002,13000220,13000220,12730365,12730365,25460730,22933794,90.0%,.716%,82.1%,22933794,20075512,12.4%
HBR49_S31_L002,12779409,12779409,12444512,12444512,24889024,21723790,87.2%,.359%,85.6%,21723790,18751238,13.6%
HBR50_S32_L002,14393074,14393074,14113816,14113816,28227632,24693210,87.4%,.784%,80.7%,24693210,21545302,12.7%
HBR51_S33_L002,16191734,16191734,15905214,15905214,31810428,28336244,89.0%,.647%,82.7%,28336244,25097058,11.4%
